CCID	ccTerm
CC05q1000	やさしい異端児
CC05r0000	病的
CC05r1000	病的にPOP
CC05s0000	知的
CC05t0000	過激
CC05u0000	面白い
CC0600000	異世界
CC0610000	お菓子の国
CC0620000	アフィリア王国
CC0630000	キャンディーの国
CC0640000	プリズムパラドックス
CC0650000	ユートピア
CC0660000	ラビリンス
CC0670000	不思議な森
CC0680000	不思議の国
CC0690000	不思議の国のアリス
CC06a0000	地獄
CC06b0000	夢の国
CC06c0000	天国
CC06d0000	天界
CC06e0000	妄想の世界
CC06f0000	宝石の国
CC06g0000	氷の国
CC06h0000	神話の世界
CC06i0000	童話
CC06j0000	童話の世界
CC06k0000	羊の国
CC06l0000	鏡の国のアリス
CC06m0000	雲の世界
CC0700000	ファッション
CC0710000	Y3K
CC0720000	ゆるやみ
CC0730000	クラシカル
CC0740000	ゴシック
CC0741000	ゴシックメイド
CC0750000	ゴスロリ
CC0760000	ジェンダーレス
CC0770000	ジャージ
CC0771000	ひきこもりジャージメイド
CC0780000	ドレス
CC0781000	チャイナドレス
CC0790000	メイド服
CC07a0000	リボン
CC07b0000	ロリータ
CC07b1000	チャイナロリータ
CC07c0000	制服
CC07c1000	かわいい制服
CC07d0000	和装
CC07e0000	地雷系
CC07e1000	地雷
CC07e2000	地雷系堕天使
CC07f0000	流行りの制服
CC07g0000	私服
CC07h0000	衣装
CC07h1000	かわいい衣装
CC07h2000	オリジナル衣装
CC07i0000	量産
CC0800000	気持ち
CC0810000	ときめき
CC0820000	エモ
CC0821000	近未来ノスタルジーエモパラドックス
CC0830000	ノスタルジー
CC0831000	近未来ノスタルジーエモパラドックス
CC0840000	バカ笑い
CC0850000	メロメロ
CC0860000	レトロ
CC0861000	レトロモダン
CC0862000	昭和レトロ
CC0870000	ロマン
CC0871000	大正ロマン
CC0880000	一目惚れ
CC0890000	不幸
CC08a0000	安心
CC08b0000	幸せ
CC08c0000	愛
CC08c1000	同性愛
CC08c1100	女性の同性愛
CC08c1110	百合
CC08d0000	楽しい
CC08e0000	温かい
CC08f0000	片想い
CC08g0000	癒し
CC08h0000	萌え
CC0900000	自然
CC0910000	オアシス
CC0920000	ジャングル
